"zip","population","zip_code","latitude","longitude","city","state","county"
97229,71529,97229,45.5483,-122.828,"Portland","OR","Washington"
92563,71394,92563,33.7529,-116.056,"Murrieta","CA","Riverside"
949,71371,949,18.4319,-66.1997,"Toa Baja","PR","Toa Baja"
60085,71265,60085,42.3274,-87.982,"Waukegan","IL","Lake"
91766,71189,91766,33.7866,-118.299,"Pomona","CA","Los Angeles"
92021,71183,92021,32.8221,-116.886,"El Cajon","CA","San Diego"
84118,71133,84118,40.6504,-112.005,"Salt Lake City","UT","Salt Lake"
80134,71112,80134,39.4895,-104.845,"Parker","CO","Douglas"
953,70997,953,18.3568,-66.257,"Toa Alta","PR","Toa Alta"
89110,70865,89110,36.1837,-115.125,"Las Vegas","NV","Clark"
91402,70702,91402,33.7866,-118.299,"Panorama City","CA","Los Angeles"
96797,70684,96797,21.3995,-158.015,"Waipahu","HI","Honolulu"
60657,70489,60657,41.8119,-87.6873,"Chicago","IL","Cook"
20906,70441,20906,39.084,-77.0613,"Silver Spring","MD","Montgomery"
10463,70236,10463,40.8795,-73.9044,"Bronx","NY","Bronx"
80015,70215,80015,39.6674,-104.775,"Aurora","CO","Arapahoe"
6902,70199,6902,41.0602,-73.5445,"Stamford","CT","Fairfield"
28277,70193,28277,35.0552,-80.8195,"Charlotte","NC","Mecklenburg"
60641,70163,60641,41.8119,-87.6873,"Chicago","IL","Cook"
30281,70098,30281,33.5499,-84.208,"Stockbridge","GA","Henry"
98012,70009,98012,47.8401,-122.197,"Bothell","WA","Snohomish"
95123,70005,95123,37.1894,-121.705,"San Jose","CA","Santa Clara"
11215,69995,11215,40.6643,-73.9841,"Brooklyn","NY","Kings"
32828,69913,32828,28.5296,-81.1755,"Orlando","FL","Orange"
92114,69858,92114,32.7061,-117.052,"San Diego","CA","San Diego"
7055,69842,7055,40.8551,-74.1269,"Passaic","NJ","Passaic"
85204,69792,85204,33.3971,-111.788,"Mesa","AZ","Maricopa"
85225,69790,85225,33.326,-111.824,"Chandler","AZ","Maricopa"
87114,69752,87114,35.1868,-106.665,"Albuquerque","NM","Bernalillo"
60640,69726,60640,41.8119,-87.6873,"Chicago","IL","Cook"
20011,69686,20011,38.9526,-77.0179,"Washington","DC","District Of Columbia"
75068,69656,75068,33.1768,-96.9583,"Little Elm","TX","Denton"
30052,69518,30052,33.8769,-83.8968,"Loganville","GA","Gwinnett"
33186,69459,33186,25.5584,-80.4582,"Miami","FL","Miami-Dade"
90262,69369,90262,33.9245,-118.203,"Lynwood","CA","Los Angeles"
94509,69295,94509,37.932,-121.907,"Antioch","CA","Contra Costa"
85281,69197,85281,33.4328,-111.927,"Tempe","AZ","Maricopa"
85301,69181,85301,33.2765,-112.187,"Glendale","AZ","Maricopa"
77036,69154,77036,29.834,-95.4342,"Houston","TX","Harris"
20002,69141,20002,38.9082,-76.9821,"Washington","DC","District Of Columbia"
30022,69135,30022,34.0268,-84.2422,"Alpharetta","GA","Fulton"
95687,69073,95687,38.3506,-121.913,"Vacaville","CA","Solano"
76179,69066,76179,32.9074,-97.4257,"Fort Worth","TX","Tarrant"
89031,69016,89031,36.278,-115.144,"North Las Vegas","NV","Clark"
78596,68984,78596,26.1787,-98.1347,"Weslaco","TX","Hidalgo"
93230,68896,93230,36.2205,-119.718,"Hanford","CA","Kings"
60620,68761,60620,41.8119,-87.6873,"Chicago","IL","Cook"
77845,68757,77845,30.5792,-96.2938,"College Station","TX","Brazos"
90631,68748,90631,33.6403,-117.769,"La Habra","CA","Orange"
30047,68700,30047,33.8656,-84.0725,"Lilburn","GA","Gwinnett"
21234,68678,21234,39.4131,-76.53,"Parkville","MD","Baltimore"
93536,68575,93536,33.7866,-118.299,"Lancaster","CA","Los Angeles"
30096,68570,30096,33.9845,-84.1529,"Duluth","GA","Gwinnett"
28027,68564,28027,35.4107,-80.6584,"Concord","NC","Cabarrus"
95747,68541,95747,38.7799,-121.336,"Roseville","CA","Placer"
11691,68454,11691,40.6015,-73.7619,"Far Rockaway","NY","Queens"
11209,68368,11209,40.6225,-74.0287,"Brooklyn","NY","Kings"
37075,68336,37075,36.3475,-86.612,"Hendersonville","TN","Sumner"
75243,68253,75243,32.778,-96.7338,"Dallas","TX","Dallas"
83646,68189,83646,43.6521,-116.426,"Meridian","ID","Ada"
7087,68121,7087,40.7589,-74.0563,"Union City","NJ","Hudson"
10472,67989,10472,40.8295,-73.8657,"Bronx","NY","Bronx"
78045,67981,78045,27.6357,-99.5923,"Laredo","TX","Webb"
23462,67963,23462,36.8371,-76.1467,"Virginia Beach","VA","Virginia Beach City"
33015,67952,33015,25.9099,-80.3612,"Hialeah","FL","Miami-Dade"
92407,67866,92407,34.2712,-116.937,"San Bernardino","CA","San Bernardino"
30135,67853,30135,33.6675,-84.7506,"Douglasville","GA","Douglas"
90026,67657,90026,33.7866,-118.299,"Los Angeles","CA","Los Angeles"
11706,67484,11706,40.7051,-73.243,"Bay Shore","NY","Suffolk"
84043,67436,84043,40.3181,-111.921,"Lehi","UT","Utah"
11213,67382,11213,40.6732,-73.9361,"Brooklyn","NY","Kings"
90037,67377,90037,33.7866,-118.299,"Los Angeles","CA","Los Angeles"
48197,67335,48197,42.2021,-83.6205,"Ypsilanti","MI","Washtenaw"
94538,67283,94538,37.5095,-121.958,"Fremont","CA","Alameda"
33157,67268,33157,25.5584,-80.4582,"Miami","FL","Miami-Dade"
94080,67263,94080,37.6574,-122.423,"South San Francisco","CA","San Mateo"
84015,67245,84015,41.0176,-111.995,"Clearfield","UT","Davis"
75067,67197,75067,33.0479,-97.0509,"Lewisville","TX","Denton"
19111,67159,19111,40.0632,-75.0813,"Philadelphia","PA","Philadelphia"
95624,67017,95624,38.4415,-121.307,"Elk Grove","CA","Sacramento"
94558,66854,94558,38.5162,-122.312,"Napa","CA","Napa"
43123,66649,43123,39.969,-83.0114,"Grove City","OH","Franklin"
7305,66595,7305,40.6967,-74.0811,"Jersey City","NJ","Hudson"
30004,66538,30004,34.1124,-84.302,"Alpharetta","GA","Fulton"
11746,66518,11746,40.8143,-73.3634,"Huntington Station","NY","Suffolk"
33027,66467,33027,26.0397,-80.3654,"Hollywood","FL","Broward"
92703,66428,92703,33.6403,-117.769,"Santa Ana","CA","Orange"
89115,66378,89115,36.2201,-115.064,"Las Vegas","NV","Clark"
89121,66344,89121,36.1223,-115.092,"Las Vegas","NV","Clark"
94541,66182,94541,37.6751,-121.974,"Hayward","CA","Alameda"
99654,66177,99654,61.5813,-149.374,"Wasilla","AK","Matanuska-Susitna"
90022,66168,90022,33.8966,-118.176,"Los Angeles","CA","Los Angeles"
30331,65996,30331,33.7243,-84.5786,"Atlanta","GA","Fulton"
95758,65952,95758,38.3472,-121.429,"Elk Grove","CA","Sacramento"
78251,65885,78251,29.4649,-98.6718,"San Antonio","TX","Bexar"
32218,65878,32218,30.4755,-81.676,"Jacksonville","FL","Duval"
85308,65799,85308,33.2765,-112.187,"Glendale","AZ","Maricopa"
20019,65769,20019,38.8916,-76.9394,"Washington","DC","District Of Columbia"
92801,65757,92801,33.6403,-117.769,"Anaheim","CA","Orange"
66061,65730,66061,38.8914,-94.8817,"Olathe","KS","Johnson"
95206,65643,95206,37.9123,-121.387,"Stockton","CA","San Joaquin"
43081,65592,43081,40.1045,-82.8965,"Westerville","OH","Franklin"
92677,65508,92677,33.5328,-117.71,"Laguna Niguel","CA","Orange"
94513,65454,94513,37.9123,-121.843,"Brentwood","CA","Contra Costa"
91343,65344,91343,33.7866,-118.299,"North Hills","CA","Los Angeles"
23322,65272,23322,36.6434,-76.242,"Chesapeake","VA","Chesapeake City"
94015,65199,94015,37.6769,-122.475,"Daly City","CA","San Mateo"
92562,65159,92562,33.442,-116.861,"Murrieta","CA","Riverside"
7002,65112,7002,40.6709,-74.1095,"Bayonne","NJ","Hudson"
17603,65022,17603,40.0091,-76.3671,"Lancaster","PA","Lancaster"
77072,65015,77072,29.834,-95.4342,"Houston","TX","Harris"
60628,65008,60628,41.8119,-87.6873,"Chicago","IL","Cook"
92201,64967,92201,33.7287,-116.036,"Indio","CA","Riverside"
38401,64822,38401,35.624,-87.004,"Columbia","TN","Maury"
29681,64806,29681,34.8073,-82.2667,"Simpsonville","SC","Greenville"
11201,64798,11201,40.6945,-73.9893,"Brooklyn","NY","Kings"
10027,64728,10027,40.8122,-73.9532,"New York City","NY","New York"
10977,64677,10977,41.1158,-74.0474,"Spring Valley","NY","Rockland"
85041,64657,85041,33.3797,-112.112,"Phoenix","AZ","Maricopa"
94501,64487,94501,37.7706,-122.265,"Alameda","CA","Alameda"
87120,64398,87120,35.1197,-106.705,"Albuquerque","NM","Bernalillo"
85033,64388,85033,33.2765,-112.187,"Phoenix","AZ","Maricopa"
28215,64293,28215,35.2466,-80.7887,"Charlotte","NC","Mecklenburg"
11432,64282,11432,40.7145,-73.7944,"Jamaica","NY","Queens"
84404,64249,84404,41.2793,-112.08,"Ogden","UT","Weber"
14850,64224,14850,42.4028,-76.484,"Ithaca","NY","Tompkins"
29072,64143,29072,33.9769,-81.253,"Lexington","SC","Lexington"
33463,64116,33463,26.5955,-80.1291,"Lake Worth","FL","Palm Beach"
7093,64062,7093,40.7888,-74.0115,"West New York","NJ","Hudson"
46307,64043,46307,41.4444,-87.3601,"Crown Point","IN","Lake"
32822,64013,32822,28.4944,-81.2902,"Orlando","FL","Orange"
28078,64000,28078,35.4011,-80.8695,"Huntersville","NC","Mecklenburg"
2301,63920,2301,42.0794,-71.04,"Brockton","MA","Plymouth"
30062,63906,30062,33.9823,-84.488,"Marietta","GA","Cobb"
20147,63903,20147,39.0373,-77.4805,"Ashburn","VA","Loudoun"
30188,63869,30188,34.1274,-84.4818,"Woodstock","GA","Cherokee"
91762,63819,91762,34.84,-115.967,"Ontario","CA","San Bernardino"
32765,63800,32765,28.6666,-81.2074,"Oviedo","FL","Seminole"
77346,63772,77346,29.834,-95.4342,"Humble","TX","Harris"
98682,63768,98682,45.6788,-122.479,"Vancouver","WA","Clark"
92115,63755,92115,32.7576,-117.071,"San Diego","CA","San Diego"
8753,63750,8753,39.9589,-74.2153,"Toms River","NJ","Ocean"
93906,63733,93906,36.621,-121.488,"Salinas","CA","Monterey"
60651,63679,60651,41.8119,-87.6873,"Chicago","IL","Cook"
78664,63661,78664,30.5305,-97.6351,"Round Rock","TX","Williamson"
94806,63603,94806,37.9596,-122.334,"San Pablo","CA","Contra Costa"
20878,63576,20878,39.0919,-77.1985,"Gaithersburg","MD","Montgomery"
95020,63522,95020,37.0233,-121.494,"Gilroy","CA","Santa Clara"
44256,63462,44256,41.11,-81.855,"Medina","OH","Medina"
43026,63456,43026,39.969,-83.0114,"Hilliard","OH","Franklin"
85326,63438,85326,33.2765,-112.187,"Buckeye","AZ","Maricopa"
40475,63422,40475,37.7649,-84.2969,"Richmond","KY","Madison"
92346,63395,92346,34.1565,-117.14,"Highland","CA","San Bernardino"
